"State","County","Year","Beach Id","Beach Name","Beach Status","Reported","Station ID","Activity ID","Action Type","ActionStartDate","ActionEndDate","ActionDuration Days","Percentage oftime beachwas affectedduring open hours","Time affected(in hours)","Time beachis open(in hours)","Action Reasons","Action ReasonsComment","Action Indicator","Action IndicatorComment","Action Possible Source","Action PossibleSourceComment"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476770","Rain Advisory","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476772","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476772","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476771","Rain Advisory","26-JUL-16","26-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476769","Rain Advisory","06-JUN-16","06-JUN-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476769","Rain Advisory","06-JUN-16","06-JUN-16","1","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476770","Rain Advisory","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","No advisory or closure","Y","21NYBCH|NY617089-01","476771","Rain Advisory","26-JUL-16","26-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY689454","AMITYVILLE BEACH","No advisory or closure","Y","21NYBCH|NY689454-01","476849","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY689454","AMITYVILLE BEACH","No advisory or closure","Y","21NYBCH|NY689454-01","476848","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY186000","ASHAROKEN BEACH","No advisory or closure","Y","21NYBCH|NY186000-01","476462","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY186000","ASHAROKEN BEACH","No advisory or closure","Y","21NYBCH|NY186000-01","476461","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY764458","BAY HILLS POA","No advisory or closure","Y","21NYBCH|NY764458-01","476883","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY764458","BAY HILLS POA","No advisory or closure","Y","21NYBCH|NY764458-01","476882","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY268028","BAYBERRY BEACH AND TENNIS CLUB","No advisory or closure","Y","21NYBCH|NY268028-01","476480","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY268028","BAYBERRY BEACH AND TENNIS CLUB","No advisory or closure","Y","21NYBCH|NY268028-01","476481","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY470082","BAYBERRY COVE BEACH","No advisory or closure","Y","21NYBCH|NY470082-01","476630","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY470082","BAYBERRY COVE BEACH","No advisory or closure","Y","21NYBCH|NY470082-01","476629","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY817008","BAYCREST ASSOCIATION BEACH","No advisory or closure","Y","21NYBCH|NY817008-01","476895","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY817008","BAYCREST ASSOCIATION BEACH","No advisory or closure","Y","21NYBCH|NY817008-01","476896","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY352593","BAYPORT BEACH","No advisory or closure","Y","21NYBCH|NY352593-01","476523","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY352593","BAYPORT BEACH","No advisory or closure","Y","21NYBCH|NY352593-01","476524","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY375131","BAYVIEW BEACH","No advisory or closure","Y","21NYBCH|NY375131-01","476540","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY375131","BAYVIEW BEACH","No advisory or closure","Y","21NYBCH|NY375131-01","476541","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY847981","BEACH POINT CLUB","No advisory or closure","Y","21NYBCH|NY847981-01","476924","Closure","29-JUL-16","31-JUL-16","2","100","24","24","SEWAGE","-","PREEMPT","-","RUNOFF","-"
"NY","WESTCHESTER","2016","NY847981","BEACH POINT CLUB","No advisory or closure","Y","21NYBCH|NY847981-01","476923","Closure","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY847981","BEACH POINT CLUB","No advisory or closure","Y","21NYBCH|NY847981-01","476922","Closure","28-JUN-16","01-JUL-16","3","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY238322","BECKWITHE POINTE","No advisory or closure","N","21NYBCH|NY238322-01","476463","Contamination Advisory","07-JUN-16","09-JUN-16","2","100","24","24","ELEV_BACT","-","ENTERO","-","UNKNOWN","-"
"NY","JEFFERSON","2016","NY556078","BEDFORD CREEK MARINA AND CAMPGROUND","No advisory or closure","N","21NYBCH|NY556078-01","476707","Closure","21-JUN-16","24-JUN-16","3","100","24","24","ELEV_BACT","-","ECOLI","-","UNKNOWN","-"
"NY","JEFFERSON","2016","NY556078","BEDFORD CREEK MARINA AND CAMPGROUND","No advisory or closure","N","21NYBCH|NY556078-01","476706","Closure","08-JUN-16","10-JUN-16","3","100","24","24","ELEV_BACT","-","ECOLI","-","UNKNOWN","-"
"NY","SUFFOLK","2016","NY563977","BEECH ROAD BEACH","No advisory or closure","Y","21NYBCH|NY563977-01","476715","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY563977","BEECH ROAD BEACH","No advisory or closure","Y","21NYBCH|NY563977-01","476716","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY530635","BENJAMINS BEACH","No advisory or closure","Y","21NYBCH|NY530635-01","476688","Closure","25-JUN-16","27-JUN-16","3","100","24","24","ELEV_BACT","-","ENTERO","-","OTHER","excessive seaweed"
"NY","SUFFOLK","2016","NY530635","BENJAMINS BEACH","No advisory or closure","Y","21NYBCH|NY530635-01","476690","Closure","18-JUL-16","19-JUL-16","2","100","24","24","ELEV_BACT","-","ENTERO","-","STORM","-"
"NY","SUFFOLK","2016","NY530635","BENJAMINS BEACH","No advisory or closure","Y","21NYBCH|NY530635-01","476689","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY530635","BENJAMINS BEACH","No advisory or closure","Y","21NYBCH|NY530635-01","476688","Closure","25-JUN-16","27-JUN-16","3","100","24","24","ELEV_BACT","-","ENTERO","-","WILDLIFE","-"
"NY","ERIE","2016","NY120695","BENNETT BEACH","No advisory or closure","Y","21NYBCH|NY120695-01","476420","Closure","30-JUL-16","31-JUL-16","1","100","24","24","MODEL","-","PREEMPT","-","UNKNOWN","-"
"NY","ERIE","2016","NY120695","BENNETT BEACH","No advisory or closure","Y","21NYBCH|NY120695-01","476419","Closure","26-JUL-16","27-JUL-16","1","100","24","24","MODEL","-","PREEMPT","-","UNKNOWN","-"
"NY","ERIE","2016","NY120695","BENNETT BEACH","No advisory or closure","Y","21NYBCH|NY120695-01","476417","Closure","09-JUL-16","10-JUL-16","1","100","24","24","MODEL","-","PREEMPT","-","UNKNOWN","-"
"NY","ERIE","2016","NY120695","BENNETT BEACH","No advisory or closure","Y","21NYBCH|NY120695-01","476418","Closure","22-JUL-16","23-JUL-16","1","100","24","24","MODEL","-","PREEMPT","-","UNKNOWN","-"
"NY","ERIE","2016","NY120695","BENNETT BEACH","No advisory or closure","Y","21NYBCH|NY120695-01","476416","Closure","27-JUN-16","28-JUN-16","1","100","24","24","MODEL","-","PREEMPT","-","UNKNOWN","-"
"NY","NASSAU","2016","NY967019","BILTMORE BEACH","No advisory or closure","Y","21NYBCH|NY967019-01","476991","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY967019","BILTMORE BEACH","No advisory or closure","Y","21NYBCH|NY967019-01","476990","Rain Advisory","02-JUL-16","03-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY967019","BILTMORE BEACH","No advisory or closure","Y","21NYBCH|NY967019-01","476992","Rain Advisory","29-JUL-16","30-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY967019","BILTMORE BEACH","No advisory or closure","Y","21NYBCH|NY967019-01","476989","Rain Advisory","28-JUN-16","29-JUN-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY967019","BILTMORE BEACH","No advisory or closure","Y","21NYBCH|NY967019-01","476988","Closure","04-JUN-16","10-JUN-16","6","100","24","24","ELEV_BACT","-","ENTERO","-","UNKNOWN","-"
"NY","SUFFOLK","2016","NY984279","BRIGHTWATERS BEACH","No advisory or closure","Y","21NYBCH|NY984279-01","477008","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY984279","BRIGHTWATERS BEACH","No advisory or closure","Y","21NYBCH|NY984279-01","477009","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY648214","BROADWAY BEACH","No advisory or closure","Y","21NYBCH|NY648214-01","476834","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY648214","BROADWAY BEACH","No advisory or closure","Y","21NYBCH|NY648214-01","476835","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY471816","CALLAHAN'S BEACH","No advisory or closure","Y","21NYBCH|NY471816-01","476631","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY471816","CALLAHAN'S BEACH","No advisory or closure","Y","21NYBCH|NY471816-01","476632","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","RICHMOND","2016","NY890584","CEDAR GROVE","No advisory or closure","Y","21NYBCH|NY890584-01","476946","Contamination Advisory","29-JUL-16","30-JUL-16","2","100","24","24","OTHER","Floatable Debris","PREEMPT","-","UNKNOWN","-"
"NY","SUFFOLK","2016","NY927224","CENTERPORT BEACH","No advisory or closure","Y","21NYBCH|NY927224-01","476963","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY927224","CENTERPORT BEACH","No advisory or closure","Y","21NYBCH|NY927224-01","476962","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY707687","CENTERPORT YACHT CLUB","No advisory or closure","Y","21NYBCH|NY707687-01","476859","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY707687","CENTERPORT YACHT CLUB","No advisory or closure","Y","21NYBCH|NY707687-01","476858","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY503509","CENTRE ISLAND - SOUND BEACH","No advisory or closure","Y","21NYBCH|NY503509-01","476671","Rain Advisory","02-JUL-16","03-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY503509","CENTRE ISLAND - SOUND BEACH","No advisory or closure","Y","21NYBCH|NY503509-01","476673","Rain Advisory","26-JUL-16","27-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY503509","CENTRE ISLAND - SOUND BEACH","No advisory or closure","Y","21NYBCH|NY503509-01","476672","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","NASSAU","2016","NY503509","CENTRE ISLAND - SOUND BEACH","No advisory or closure","Y","21NYBCH|NY503509-01","476674","Rain Advisory","29-JUL-16","30-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","JEFFERSON","2016","NY426945","CHAUMONT VILLAGE BEACH","No advisory or closure","Y","21NYBCH|NY426945-01","476590","Closure","23-JUN-16","24-JUN-16","2","100","24","24","ELEV_BACT","-","ECOLI","-","UNKNOWN","-"
"NY","JEFFERSON","2016","NY426945","CHAUMONT VILLAGE BEACH","No advisory or closure","Y","21NYBCH|NY426945-01","476592","Closure","19-JUL-16","21-JUL-16","2","100","24","24","ELEV_BACT","-","ECOLI","-","UNKNOWN","-"
"NY","JEFFERSON","2016","NY426945","CHAUMONT VILLAGE BEACH","No advisory or closure","Y","21NYBCH|NY426945-01","476591","Closure","28-JUN-16","30-JUN-16","2","100","24","24","ELEV_BACT","-","ECOLI","-","UNKNOWN","-"
"NY","SUFFOLK","2016","NY504437","COLD SPRING HARBOR BEACH CLUB","No advisory or closure","Y","21NYBCH|NY504437-01","476679","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY504437","COLD SPRING HARBOR BEACH CLUB","No advisory or closure","Y","21NYBCH|NY504437-01","476678","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY112479","COPIAGUE HARBOR","No advisory or closure","Y","21NYBCH|NY112479-01","476408","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY112479","COPIAGUE HARBOR","No advisory or closure","Y","21NYBCH|NY112479-01","476407","Closure","09-JUL-16","13-JUL-16","5","100","24","24","ELEV_BACT","-","ENTERO","-","STORM","-"
"NY","SUFFOLK","2016","NY112479","COPIAGUE HARBOR","No advisory or closure","Y","21NYBCH|NY112479-01","476406","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY780418","COREY CREEK BEACH","No advisory or closure","Y","21NYBCH|NY780418-01","476887","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY780418","COREY CREEK BEACH","No advisory or closure","Y","21NYBCH|NY780418-01","476888","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY948448","COVELEIGH BEACH CLUB","No advisory or closure","Y","21NYBCH|NY948448-01","476973","Closure","28-JUN-16","01-JUL-16","3","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY948448","COVELEIGH BEACH CLUB","No advisory or closure","Y","21NYBCH|NY948448-01","476972","Contamination Advisory","07-JUN-16","09-JUN-16","2","100","24","24","ELEV_BACT","-","ENTERO","-","UNKNOWN","-"
"NY","WESTCHESTER","2016","NY948448","COVELEIGH BEACH CLUB","No advisory or closure","Y","21NYBCH|NY948448-01","476975","Closure","29-JUL-16","31-JUL-16","2","100","24","24","SEWAGE","-","PREEMPT","-","RUNOFF","-"
"NY","WESTCHESTER","2016","NY948448","COVELEIGH BEACH CLUB","No advisory or closure","Y","21NYBCH|NY948448-01","476974","Closure","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY133112","CRAB MEADOW BEACH","No advisory or closure","Y","21NYBCH|NY133112-01","476426","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY133112","CRAB MEADOW BEACH","No advisory or closure","Y","21NYBCH|NY133112-01","476427","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY702605","CRESCENT BEACH - SUFFOLK","No advisory or closure","Y","21NYBCH|NY702605-01","476855","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","SUFFOLK","2016","NY702605","CRESCENT BEACH - SUFFOLK","No advisory or closure","Y","21NYBCH|NY702605-01","476854","Rain Advisory","05-JUL-16","06-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476743","Rain Advisory","06-JUN-16","06-JUN-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476743","Rain Advisory","06-JUN-16","06-JUN-16","1","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476744","Rain Advisory","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476745","Rain Advisory","26-JUL-16","26-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476745","Rain Advisory","26-JUL-16","26-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476746","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476746","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476744","Rain Advisory","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY352572","DAVENPORT CLUB","No advisory or closure","Y","21NYBCH|NY352572-01","476519","Closure","29-JUL-16","31-JUL-16","2","100","24","24","SEWAGE","-","PREEMPT","-","RUNOFF","-"
